Team,League,Realigned Division
Milwaukee Brewers,MLB,0
Los Angeles Angles,MLB,1
St. Louis Cardinals,MLB,0
Arizona Diamondbacks,MLB,4
New York Mets,MLB,2
Philadelphia Phillies,MLB,2
Detroit Tigers,MLB,5
Colorado Rockies,MLB,4
Los Angeles Dodgers,MLB,1
Boston Red Sox,MLB,2
Texas Rangers,MLB,4
Cincinnati Reds,MLB,3
Chicago White Sox,MLB,3
Kansas City Royals,MLB,0
Miami Marlins,MLB,3
Houston Astros,MLB,4
Washington Nationals,MLB,5
Oakland Athletics,MLB,1
San Francisco Giants,MLB,1
Baltimore Orioles,MLB,2
San Diego Padres,MLB,4
Pittsburgh Pirates,MLB,5
Cleveland Guadians,MLB,5
Toronto Blue Jays,MLB,5
Seattle Mariners,MLB,1
Minnesota Twins,MLB,0
Tampa Bay Rays,MLB,3
Atlanta Braves,MLB,3
Chicago Cubs,MLB,0
New York Yankees,MLB,2
